phone,data_gb,call_min,vas_sub,daily_data_used,Weekly_data_used,Monthly_data_used,av_expired_data,daily_av_call,weekly_av_call,monthly_av_call,manual_recommendation,manual_incentive
7039335665,1.09,59,True,1.36gb,8.7gb,29.88gb,995mb,14min,70min,210min,Auto-generated MTN recommendation,Airtime
8136254505,0.28,382,False,1.78gb,9.19gb,39.69gb,65mb,5min,35min,175min,Auto-generated MTN recommendation,Data
8067021183,4.59,94,True,1.2gb,6.45gb,31.46gb,9mb,4min,20min,60min,Auto-generated MTN recommendation,Data
7036721173,1.7,144,False,44mb,301mb,1.1gb,1.4gb,53min,212min,1060min,Auto-generated MTN recommendation,Airtime
7067541492,0.13,191,True,192mb,1.05gb,3.68gb,68mb,16min,96min,384min,Auto-generated MTN recommendation,None
8038080357,13.15,12,False,253mb,1.3gb,5.44gb,11.19gb,13min,52min,260min,Auto-generated MTN recommendation,Airtime
9033867463,0.23,346,True,1.33gb,6.45gb,24.15gb,212mb,14min,56min,224min,Auto-generated MTN recommendation,None
9065167120,2.72,118,True,1.86gb,12.46gb,53.7gb,1.47gb,60min,300min,1500min,Auto-generated MTN recommendation,Data
8138909631,0.07,213,False,1.06gb,4.94gb,18.05gb,51mb,49min,343min,1715min,Auto-generated MTN recommendation,None
8138206474,2.99,87,True,534mb,3.55gb,17.55gb,1.33gb,1min,4min,12min,Auto-generated MTN recommendation,Data
7031488496,10.02,11,True,1.59gb,6.87gb,33.32gb,5.22gb,17min,119min,476min,Auto-generated MTN recommendation,Data
8032305816,0.04,259,False,1.97gb,11.25gb,37.0gb,9mb,15min,90min,270min,Auto-generated MTN recommendation,None
7036380983,1.77,62,False,1.25gb,6.4gb,31.9gb,1.45gb,16min,96min,384min,Auto-generated MTN recommendation,None
9069395998,2.3,121,False,142mb,828mb,2.95gb,431mb,49min,294min,1470min,Auto-generated MTN recommendation,Airtime
7037765656,5.49,81,True,1.46gb,6.94gb,31.08gb,4.53gb,46min,276min,1380min,Auto-generated MTN recommendation,Airtime
7064700859,1.93,136,False,274mb,1.42gb,6.48gb,291mb,41min,246min,738min,Auto-generated MTN recommendation,None
8038647613,0.2,210,False,1.88gb,10.75gb,42.62gb,56mb,23min,138min,690min,Auto-generated MTN recommendation,Airtime
7062279507,7.73,117,False,1.41gb,6.74gb,29.02gb,1.44gb,21min,84min,252min,Auto-generated MTN recommendation,Data
8037952304,1.78,83,False,135mb,693mb,2.86gb,927mb,60min,240min,1200min,Auto-generated MTN recommendation,None
8065729459,3.06,83,False,1.98gb,10.61gb,51.51gb,2.93gb,29min,174min,696min,Auto-generated MTN recommendation,Data
8169830584,5.09,90,False,836mb,4.23gb,14.55gb,3.34gb,18min,90min,270min,Auto-generated MTN recommendation,None
8131115887,3.92,71,False,1.5gb,9.91gb,31.18gb,1.02gb,31min,186min,744min,Auto-generated MTN recommendation,Airtime
8166665300,19.02,52,False,1.15gb,5.94gb,19.85gb,10.94gb,32min,160min,800min,Auto-generated MTN recommendation,Airtime
8138134129,0.06,164,True,1.89gb,12.28gb,38.24gb,0mb,45min,225min,1125min,Auto-generated MTN recommendation,Data
